State,Children_in_poverty,Adult_smoking,Income,Num_of_Providers,AvgSpendPerEpHosp,Pop_over_all,Poverty_overall,Degree_or_higher,TaxRate,Median_house_V,TotalDischrg,AvgMedicarePay
Mississippi,0.307,0.23,39665.0,58,1499.510971786834,2988726,1213744,819782,0.014467046325609753,82298.11951219513,93223,7124.175751037359
New Mexico,0.28,0.191,44963.0,29,1452.0987460815045,2081015,780919,732476,0.014490006766666662,113684.70303030303,26925,8300.111439476545
Louisiana,0.28,0.24,45047.0,63,1580.9711399711405,4681666,1823939,1407750,0.02217090117343751,94176.45,109876,7387.704625041281
Alabama,0.27399999999999997,0.21100000000000002,43623.0,83,1462.5027382256299,4863300,814190,783076,0.01070418800597015,97627.32835820896,142704,6418.007119669867
South Carolina,0.264,0.215,45483.0,54,1621.388888888889,4961119,1479149,1730114,0.017593947080434786,111615.56739130436,121393,7876.33152441167
Georgia,0.263,0.174,49620.0,166,1777.0936473165386,10310371,3224736,3876180,0.02117147911194969,108771.96163522011,191242,7667.581549919492
Arkansas,0.263,0.247,41371.0,44,1608.9390495867772,2988248,994772,848892,0.012493557117333328,80051.0933333333,86769,6919.720832123854
Tennessee,0.259,0.242,45219.0,90,1686.1964646464644,6651194,2047650,2244832,0.01640163310210526,107275.6305263158,189065,6946.489304222644
Kentucky,0.259,0.262,43740.0,51,1672.300356506239,4436974,1565552,1348330,0.010980768267499998,93617.70083333332,152572,7185.227810467647
Arizona,0.256,0.165,50255.0,61,1723.3673621460507,6931071,2214307,2482850,0.027085902866666674,127114.88,104604,8825.717239565045
West Virginia,0.25,0.267,41751.0,29,1594.242946708464,1831102,636739,507412,0.01305469405636364,89786.03272727273,64968,6900.852548772811
Texas,0.245,0.145,53207.0,287,1864.7686094393416,27862596,8522584,9601354,0.036064497629527584,76463.8188976378,479939,7970.430797370104
Florida,0.242,0.17600000000000002,47507.0,6,1811.151515151515,20612439,5972469,7859592,0.02120407420447761,124561.88656716418,536859,7667.478694755685
North Carolina,0.24100000000000002,0.191,46868.0,83,1614.3696604600223,10146788,3046066,3880870,0.016998255391,126515.02999999994,257312,7998.649702439984
New York,0.22899999999999998,0.14400000000000002,59269.0,145,1670.7003134796232,19745289,5687907,9382892,0.03576655824193549,158573.27149999994,435557,10620.73639790799
Ohio,0.22699999999999998,0.21,49429.0,122,1765.2913561847981,11614373,3279274,4185750,0.02141101664772727,125733.7102272728,293472,7661.033712207648
California,0.226,0.128,61818.0,286,1813.7703432930703,39250017,11055243,16352974,0.023105446896551723,249487.0379310345,474979,11494.381677893474
Michigan,0.226,0.212,49576.0,93,1651.1080156402736,9928300,2899367,3663596,0.02729413873493975,123535.37349397587,295552,8662.157756043543
Oklahoma,0.22399999999999998,0.21100000000000002,46879.0,81,1611.7227833894497,3923561,1230103,1240230,0.014910237164935069,71486.88571428572,97292,7207.706055555556
Nevada,0.222,0.17,51847.0,19,1934.7177033492826,2940058,814616,891122,0.030119315352941173,149241.11176470589,42600,8747.602828618963
Oregon,0.213,0.17,51243.0,34,1633.2967914438505,4093465,1076337,1732746,0.02814551223055556,159426.80000000002,39546,9035.259961508847
Missouri,0.213,0.20600000000000002,48173.0,72,1616.5871212121212,6093000,1652717,2251330,0.013455634235652169,89251.88434782607,178826,7589.245870904166
Rhode Island,0.212,0.163,56852.0,11,1636.4586776859503,1056426,269365,470456,0.027975298200000002,194431.38,22289,9317.939115646255
Indiana,0.212,0.22899999999999998,49255.0,125,1743.1349090909086,6633053,1798334,2136124,0.019341962989130438,116898.30434782605,182573,7478.296323943639
Illinois,0.201,0.165,57574.0,13,1805.888111888112,12801539,3241947,5669738,0.017416291017647058,102620.09019607842,361603,8385.28267290425
Montana,0.192,0.19899999999999998,47169.0,13,1609.7447552447554,1042520,272876,418144,0.03422487507142858,99348.96607142856,15705,7981.088063241104
Delaware,0.192,0.19899999999999998,60509.0,7,1900.681818181818,952065,219183,390642,0.010133558333333334,165514.16666666663,26753,8959.67327411167
Pennsylvania,0.192,0.19899999999999998,53599.0,147,1715.6311069882493,12784227,3179169,5191900,0.02109535641791045,117942.64626865672,314936,7919.184856483817
Idaho,0.19,0.159,47583.0,34,1574.385026737968,1683140,456073,549968,0.018043680250000003,130443.13863636366,18295,8461.977513611617
Maine,0.19,0.193,49331.0,17,1592.6363636363637,1331479,319045,561140,0.028238334812500005,123027.56875,33114,7590.500810810822
Wisconsin,0.184,0.174,53357.0,64,1666.628196022727,5778708,1322928,2208164,0.025552308138888886,126444.3069444444,100068,8002.597911079731
South Dakota,0.184,0.18600000000000003,50957.0,17,1613.9973262032086,851039,215904,305570,0.027739827834848484,68940.33636363638,20109,8641.162078189302
Kansas,0.17600000000000002,0.18100000000000002,52205.0,85,1758.4796791443837,2907289,687541,1187602,0.034390927980952384,76152.38571428572,61800,7224.643162393148
Washington,0.175,0.153,61062.0,46,1751.4342885375486,7288000,1617164,3224318,0.01660345214871795,175231.39487179485,107011,9076.509287257013
Nebraska,0.16,0.17300000000000001,52997.0,23,1891.1936758893282,1907116,417727,733566,0.03203687033333333,75870.63333333332,39799,7992.6272504707995
Virginia,0.159,0.195,65015.0,73,1636.5199252801995,8411808,1794483,4147282,0.02178665587185185,139567.0748148148,193399,7538.847006001846
New Jersey,0.158,0.151,72093.0,64,1911.8643465909086,8944469,1830783,4580082,0.03156124552380952,223055.3333333333,251207,9586.940055946912
Colorado,0.156,0.157,60629.0,45,1805.0979797979803,5540545,1196755,2779460,0.043020851714285706,195902.3349206349,61320,8150.931391534383
Alaska,0.155,0.19899999999999998,72515.0,8,1437.278409090909,718772,143831,271050,0.06193378279125,159202.856,6142,12958.96943722943
Iowa,0.155,0.185,53183.0,12,1643.1174242424238,3134693,708859,1118862,0.024326454494949492,91749.44747474747,68784,7148.119994232981
Vermont,0.154,0.16399999999999998,55176.0,6,1549.0833333333333,624594,135651,316450,0.031918623857142864,137984.54285714286,10071,10546.969962962965
Massachusetts,0.153,0.147,68563.0,84,1742.2375541125543,6811779,1376733,3833612,0.027811443571428573,277854.3285714286,193680,9241.719323269102
Hawaii,0.152,0.141,69515.0,100,1612.733181818182,1428557,265194,610402,0.01941261625,309489.275,11712,10967.475045248866
Connecticut,0.149,0.154,70331.0,29,1752.694357366771,3576452,684343,1876638,0.025360145125,220228.2625,96258,10104.592943809059
Minnesota,0.14800000000000002,0.163,61492.0,48,1574.9507575757577,5519952,1063585,2507874,0.020634113839080457,112332.06321839085,95666,8619.214982238007
Maryland,0.138,0.146,74551.0,56,1680.3133116883114,6016447,1145572,3113422,0.023356565041666662,177438.9625,173011,11480.121828828853
Wyoming,0.13699999999999998,0.195,58840.0,10,1608.4454545454546,585501,124831,201348,0.03557611291304348,136991.8304347826,6535,9539.392024291496
North Dakota,0.13699999999999998,0.19899999999999998,57181.0,7,1704.155844155844,757952,153899,269108,0.021368518490566046,65151.00377358489,16425,8752.048293838863
Utah,0.134,0.09699999999999999,60727.0,30,1763.1348484848493,3051217,614539,1081442,0.030139094137931036,157358.35172413793,23052,7829.6286885245845
New Hampshire,0.126,0.175,66779.0,13,1754.937062937063,1334795,195506,661352,0.0405677306,153241.68,28419,8124.506852976913
